jugador,posicion,score,ronda1,ronda2,ronda3,ronda4,Temporada
Scottie Scheffler,1,-17,68.0,61.0,68.0,66.0,2026
Si Woo Kim,2,-9,70.0,68.0,65.0,68.0,2026
Alex Noren,3,-8,71.0,66.0,66.0,69.0,2026
Sam Burns,4,-8,67.0,70.0,62.0,73.0,2026
Wyndham Clark,5,-7,69.0,66.0,70.0,68.0,2026
Sungjae Im,6,-7,66.0,66.0,67.0,74.0,2026
Xander Schauffele,7,-6,67.0,72.0,68.0,67.0,2026
Ludvig Åberg,8,-6,68.0,65.0,74.0,67.0,2026
Hideki Matsuyama,9,-6,66.0,70.0,67.0,71.0,2026
Jake Knapp,10,-6,65.0,70.0,67.0,72.0,2026
Tommy Fleetwood,11,-6,66.0,68.0,68.0,72.0,2026
Bud Cauley,12,-5,66.0,72.0,70.0,67.0,2026
Matt Fitzpatrick,13,-5,70.0,67.0,69.0,69.0,2026
Adam Scott,14,-5,66.0,70.0,69.0,70.0,2026
Patrick Cantlay,15,-5,69.0,66.0,70.0,70.0,2026
Nico Echavarria,16,-5,68.0,66.0,71.0,70.0,2026
Tom Kim,17,-5,69.0,72.0,63.0,71.0,2026
Kurt Kitayama,18,-5,65.0,73.0,66.0,71.0,2026
Maverick McNealy,19,-4,68.0,70.0,69.0,69.0,2026
Pierceson Coody,20,-4,71.0,66.0,70.0,69.0,2026
Patrick Rodgers,21,-4,67.0,69.0,71.0,69.0,2026
Jordan Spieth,22,-4,65.0,69.0,72.0,70.0,2026
Viktor Hovland,23,-4,68.0,64.0,72.0,72.0,2026
Max Homa,24,-3,73.0,67.0,69.0,68.0,2026
Harry Hall,25,-3,72.0,68.0,68.0,69.0,2026
Ryan Gerard,26,-3,70.0,70.0,68.0,69.0,2026
Alex Smalley,27,-3,68.0,68.0,72.0,69.0,2026
Jackson Koivun,28,-3,71.0,70.0,66.0,70.0,2026
J.T. Poston,29,-3,71.0,68.0,66.0,72.0,2026
Russell Henley,30,-2,71.0,70.0,67.0,70.0,2026
Jacob Bridgeman,31,-2,69.0,70.0,68.0,71.0,2026
Chris Gotterup,32,-2,66.0,70.0,69.0,73.0,2026
Brian Harman,33,-2,70.0,64.0,69.0,75.0,2026
Sepp Straka,34,-1,68.0,73.0,72.0,66.0,2026
Nicolai Højgaard,35,-1,73.0,70.0,68.0,68.0,2026
Rickie Fowler,36,-1,68.0,73.0,66.0,72.0,2026
J.J. Spaun,37,-1,71.0,69.0,67.0,72.0,2026
Keith Mitchell,38,-1,69.0,66.0,72.0,72.0,2026
Justin Rose,39,E,73.0,70.0,73.0,64.0,2026
Cameron Young,40,E,69.0,69.0,72.0,70.0,2026
Nick Taylor,41,E,69.0,68.0,69.0,74.0,2026
Harris English,42,+1,68.0,75.0,71.0,67.0,2026
Ben Griffin,43,+1,73.0,71.0,69.0,68.0,2026
Michael Brennan,44,+1,73.0,70.0,67.0,71.0,2026
Sam Stevens,45,+1,69.0,71.0,70.0,71.0,2026
Gary Woodland,46,+1,66.0,71.0,70.0,74.0,2026
Corey Conners,47,+2,71.0,71.0,70.0,70.0,2026
Michael Thorbjornsen,48,+2,65.0,75.0,72.0,70.0,2026
Sudarshan Yellamaraju,49,+2,70.0,65.0,76.0,71.0,2026
Matti Schmid,50,+2,73.0,70.0,67.0,72.0,2026
Justin Thomas,51,+2,70.0,67.0,72.0,73.0,2026
Shane Lowry,52,+3,69.0,72.0,72.0,70.0,2026
Collin Morikawa,53,+3,71.0,69.0,71.0,72.0,2026
Ryo Hisatsune,54,+3,69.0,70.0,71.0,73.0,2026
Min Woo Lee,55,+4,67.0,71.0,75.0,71.0,2026
Jordan Smith,56,+4,71.0,73.0,67.0,73.0,2026
Michael Kim,57,+4,65.0,72.0,74.0,73.0,2026
Ryan Fox,58,+5,73.0,73.0,72.0,67.0,2026
Kristoffer Reitan,59,+5,72.0,71.0,73.0,69.0,2026
Eric Cole,60,+5,72.0,72.0,70.0,71.0,2026
Alex Fitzpatrick,61,+6,71.0,74.0,70.0,71.0,2026
Aldrich Potgieter,62,+6,71.0,71.0,72.0,72.0,2026
Matt McCarty,63,+7,73.0,72.0,71.0,71.0,2026
Ricky Castillo,64,+7,72.0,74.0,68.0,73.0,2026
Aaron Rai,65,+7,72.0,66.0,71.0,78.0,2026
Rory McIlroy,66,+8,74.0,70.0,72.0,72.0,2026
Sahith Theegala,67,+11,69.0,72.0,79.0,71.0,2026
Akshay Bhatia,68,+13,72.0,72.0,73.0,76.0,2026
Robert MacIntyre,69,+12,82.0,0.0,0.0,,2026
